Id,Label,modularity_class,degree
561,561,14,2
562,562,7,1
563,563,11,8
565,565,1,2
567,567,18,1
568,568,2,2
570,570,11,1
571,571,2,1
572,572,23,2
573,573,18,2
576,576,20,2
577,577,2,1
578,578,14,1
580,580,20,1
587,587,6,2
589,589,12,1
590,590,16,10
591,591,24,1
594,594,5,3
596,596,9,1
597,597,16,2
598,598,3,1
599,599,24,1
601,601,24,2
602,602,6,1
603,603,15,1
605,605,1,1
606,606,2,1
607,607,4,2
608,608,9,1
609,609,1,1
610,610,25,2
611,611,20,1
612,612,14,2
613,613,5,1
615,615,20,20
617,617,11,1
618,618,0,1
619,619,12,1
620,620,20,1
622,622,8,1
624,624,19,1
625,625,19,14
626,626,19,3
627,627,12,21
628,628,19,1
630,630,24,2
631,631,12,1
633,633,2,2
635,635,24,1
636,636,16,1
637,637,0,1
639,639,5,3
640,640,0,2
641,641,12,3
642,642,24,1
644,644,23,2
645,645,8,3
646,646,4,1
650,650,15,2
651,651,16,1
652,652,14,1
655,655,0,3
656,656,0,1
657,657,2,2
658,658,1,1
659,659,24,2
660,660,12,1
661,661,7,2
662,662,24,1
664,664,25,2
665,665,20,1
666,666,12,3
668,668,20,1
669,669,9,1
670,670,19,1
672,672,9,1
673,673,20,2
674,674,25,1
675,675,5,1
676,676,19,2
678,678,11,1
680,680,12,9
682,682,21,2
683,683,12,2
684,684,20,22
685,685,23,1
686,686,16,2
687,687,25,15
689,689,22,1
690,690,2,1
691,691,4,2
692,692,25,1
693,693,8,2
694,694,1,1
696,696,3,3
697,697,23,1
698,698,7,23
699,699,3,2
700,700,23,1
701,701,20,1
702,702,13,17
703,703,5,3
705,705,15,1
708,708,17,2
711,711,3,1
713,713,1,1
714,714,20,1
715,715,13,3
717,717,23,1
718,718,24,2
720,720,4,1
721,721,16,1
722,722,13,9
723,723,22,2
725,725,3,1
727,727,25,1
728,728,7,2
729,729,8,2
730,730,6,1
731,731,22,2
732,732,9,1
733,733,14,2
734,734,23,3
735,735,22,1
736,736,10,3
738,738,19,1
739,739,14,13
740,740,4,2
743,743,7,3
746,746,1,1
747,747,4,1
748,748,14,1
750,750,14,2
751,751,6,1
754,754,10,1
755,755,14,1
756,756,15,1
757,757,11,2
760,760,10,1
762,762,24,1
763,763,12,7
764,764,21,1
766,766,4,2
767,767,11,1
768,768,25,1
769,769,12,18
771,771,15,1
772,772,19,1
773,773,4,1
774,774,21,1
775,775,19,3
777,777,20,1
779,779,2,1
780,780,10,1
781,781,21,2
783,783,20,16
786,786,5,6
787,787,3,1
788,788,16,2
